"Price","Build.year","Estimated.neighbourhood.price.per.m2","Lot.size.m2","Living.space.size.m2","Nieuwbouw","Number.of.kamers","Number.of.slaapkamers","Number.of.bathrooms","Number.of.separate.toilets","Number.of.woonlagen","Kelder","Energy.label.numeric","Garden.dummy"
225000,"1983",4345,205,98,0,4,3,1,1,2,0,6,1
325000,"1965",2200,353,118,0,4,3,1,1,2,1,6,1
299500,"1990",3230,167,113,0,5,3,2,1,2,0,7,0
725000,"2019",1665,923,123,0,6,3,1,1,2,0,10,1
325000,"1911",2925,264,112,0,4,3,1,1,2,0,6,1
450000,"1977",3050,306,143,0,5,4,1,1,3,0,6,1
479000,"1969",1820,220,125,0,4,3,1,1,3,0,5,1
4700000,"2016",685,1419,489,0,11,5,4,1,4,0,8,1
485000,"2011",1115,96,124,0,5,4,1,1,3,0,9,1
290000,"1960",2880,207,95,0,6,4,1,1,3,0,6,1
323000,"1990",4545,171,111,0,4,3,1,1,2,0,8,1
325000,"1996",2625,143,116,0,5,4,1,1,3,0,7,1
495000,"1989",5175,257,95,0,3,2,1,1,2,0,7,1
1250000,"1974",655,7796,225,0,8,7,2,1,2,1,6,1
645000,"",875,490,161,0,5,4,2,1,2,0,6,0
375000,"1969",3225,164,85,0,4,3,1,1,2,0,6,1
825000,"2006",2080,501,242,0,11,6,3,1,2,0,8,1
385000,"1970",25730,142,129,0,6,5,1,1,3,0,5,1
345000,"1948",1755,141,83,0,4,3,1,1,3,0,5,1
440000,"1990",7205,184,120,0,4,3,1,1,2,0,7,1
269000,"1905",9320,970,120,0,6,4,1,1,2,0,2,1
250000,"1979",6510,127,107,0,5,4,1,1,3,0,7,1
325000,"1968",2885,234,113,0,5,4,1,1,3,0,8,1
259500,"1972",11855,95,122,0,5,4,1,1,3,0,6,1
425000,"2016",2495,120,114,0,5,3,1,1,3,0,8,1
469000,"2014",9455,146,130,0,5,4,1,1,3,0,8,1
549500,"",5935,479,148,0,5,4,2,1,2,0,4,1
450000,"2006",9455,116,122,0,5,4,1,1,3,0,8,1
399000,"1976",6190,122,114,0,4,3,1,1,3,0,6,1
325000,"1962",1330,157,124,0,5,4,1,1,2,0,7,1
725000,"1935",310,583,122,0,5,4,1,1,3,0,5,1
385000,"2015",1225,119,127,0,5,5,1,1,3,0,8,1
550000,"2008",915,290,125,0,4,3,1,2,3,0,7,1
550000,"1994",2725,310,167,0,6,4,1,1,3,0,7,1
549000,"1999",1985,284,190,0,8,5,2,2,3,0,7,1
350000,"1988",2220,140,110,0,5,4,1,1,3,0,8,1
440000,"1970",1780,134,148,0,4,3,1,2,3,0,8,1
5e+05,"1960",2155,144,113,0,6,5,1,1,2,0,5,1
825000,"2000",11035,608,186,0,5,4,1,1,3,0,7,1
359500,"1973",4220,175,142,0,5,4,1,1,3,0,6,1
250000,"1995",2805,173,84,0,4,3,1,0,2,0,6,1
325000,"1980",5760,212,98,0,5,4,1,1,3,0,8,1
350000,"1974",3990,184,108,0,4,3,1,1,2,0,5,1
395000,"1923",745,139,104,0,6,5,1,2,3,0,6,1
365000,"1967",2030,185,125,0,5,4,1,1,3,0,6,1
409000,"1975",1680,147,118,0,5,4,1,1,3,0,5,1
385000,"1964",1950,157,109,0,5,4,1,1,3,0,6,1
325000,"1984",3925,106,98,0,5,4,1,1,3,0,7,1
450000,"1997",2255,210,126,0,5,4,1,1,3,0,7,1
185000,"1962",1455,165,70,0,4,3,1,1,2,0,5,1
275000,"1974",565,166,110,0,5,3,1,1,2,0,7,1
350000,"1964",1620,144,75,0,4,3,1,1,3,0,6,1
345000,"1977",7665,156,115,0,5,3,1,1,3,0,6,1
315000,"1960",2975,142,70,0,4,3,1,1,2,0,4,1
389000,"1979",2385,141,121,0,4,3,2,1,3,0,6,1
760000,"2001",9015,304,149,0,7,5,1,2,2,0,7,1
385000,"1961",3190,287,123,0,5,4,1,1,2,0,3,1
525000,"2004",3585,284,175,0,7,5,1,2,3,0,8,1
410000,"1990",1690,133,116,0,6,5,1,1,3,0,6,1
350000,"1972",1615,171,118,0,5,4,1,1,3,0,6,1
399000,"1985",2275,280,142,0,4,2,1,1,3,0,6,1
349500,"1995",6095,196,119,0,5,3,2,1,2,0,8,1
575000,"2020",410,368,142,0,5,4,1,1,3,0,8,1
225000,"1910",2420,139,106,0,4,3,1,1,2,0,4,1
329500,"1956",995,2370,90,0,4,3,1,1,2,0,4,1
